Warner Bros. Discovery	Product Manager	Remote	PM	ENTRY_LEVEL	$73,150 - $135,850 a year
Dermatology Institute	Medical Esthetician and Product Sales Manager	Chula Vista, CA 91910 (Northwest area)	PM	ENTRY_LEVEL	NA	Job Description: Esthetician and Product Sales ManagerEsthetician to develop and implement a sales training plan for employees of the dermatology practice. Individual will also perform facials, hydrafacials, microdermabrasion and some chemical peels as well as do direct sales to patients. Very helpful to be bilingual ( Spanish & English)Job Type: Full-timePay: $15.00 - $20.00 per hourBenefits:401(k)Dental insuranceEmployee discountFlexible scheduleHealth insuranceLife insurancePaid time offRetirement planVision insuranceSchedule:8 hour shiftMonday to FridaySupplemental pay types:Commission payExperience:sales: 1 year (Preferred)Esthetician: 1 year (Preferred)Language:Spanish (Preferred)License/Certification:Esthetician License (Preferred)Work Location: In person
Physicians Mutual	Actuarial Associate --- Product Management	Omaha, NE 68131	PM	ENTRY_LEVEL	NA	This game changing career will give you the opportunity to be challenged with pricing and actively managing our Medicare Supplement line of business for Physicians Mutual. You will get to initiate, organize, direct and analyze actuarial work. In this role you will develop actuarial assumptions as well as direct, develop and maintain product pricing, profit studies, reserves, rate filings and related procedures. Must be able to compile and evaluate statistical data. Must have advanced understanding of actuarial concepts and insurance knowledge and the ability to apply these concepts to the work. Continues to actively pursue actuarial exams, unless otherwise approved.Requirements: Bachelor’s degree in actuarial science or related discipline. Completion of ASA is required.Ability to apply standard mathematical computations to a variety of assigned work projectsStrong Excel experience for mathematical modeling, statistical analysis, etc.Ability to logically present voluminous data in a concise, understandable formatAbility to perform several projects while maintaining rigid deadlinesAbility to prepare basic financial and statistical reportsDemonstrated strong analytical and problem-solving skillsAbility to build, maintain, and upgrade financial models utilizing complex actuarial conceptsFamiliarity and/or comfort with coding required Preferred: Medicare Supplement pricing experienceExperience with running SQL queries.Insurance Industry ExperienceALFA experience.About us:Since our start in 1902, Physicians Mutual Insurance Company has held to our founder’s promise — to provide protection to families when they need it most. In 1970, Physicians Life Insurance Company was founded and became a member of the Physicians Mutual family.  Today, we offer health, life and retirement products to millions of people from all walks of life. We’ve been here for them. Listening. Answering questions. Empowering them with the specialized guidance they need to make confident decisions about their insurance.  Over the years, our dedication to delivering on our promise has helped make us one of the nation’s leading health and life insurance providers. In fact, we are rated in the top 1% of insurance companies. We consistently maintain some of the highest financial strength ratings in the nation from independent insurance analysts, including A.M. Best Company and Weiss Ratings, ensuring we’ll be there for our policyowners and our employees far into the future.But the achievement we’re most proud of? We have a 95% customer approval rating – a true sign of a company dedicated to embodying its vision.     Job Requirements          Category          Corporate Actuarial / Finance          Job Type          Full-time          Travel    
City of Dallas	HRIS Product Owner - Workday HCM Core/Security	Dallas, TX 75201 (Downtown area)	PM	ENTRY_LEVEL	$118,000 - $130,000 a year	JOB The HRIS Product Owner is fully responsible for the Workday HCM Core/Security module. This position will maximize value addition of the Workday HCM Core/Security module at the City of Dallas. This role is the primary point of contact on behalf of the HRIS Functional Area to identify the Workday product requirements and best practices to align with the City’s needs and requirements as outlined in the City’s Personnel Rules and Administrative Directives.  EXAMPLE OF DUTIES Serves as the product owner for the assigned areas including, production changes, new Workday feature evaluation and configuration, business process issue resolution, security settings, Workday configuration optimization, and segregation of duties. Manages future road mapping for their functional area in coordination with Workday for the assigned module. Coordinates all aspects of Release testing for their functional area including test case development, release review, release issues resolution, and verification of test results. Supports root cause analysis for functional area issues as well as cross functional and interfacing issues where applicable.Manages ServiceNow Workday tickets as needed.Coordinates Workday functional area changes through Workday Change Control Process and provide approvals as needed.Identifies all business process changes that impact End Users and provide support and guidance to HRIS Management. Coordinates and directs technical staff responsible for configuration management and issue resolution within their Workday functional area.  SUPPLEMENTAL INFORMATION Knowledge of configuration, management, and support of the HCM Core/Security module.Knowledge of the State of Texas employment laws and City of Dallas local ordinances, laws, and Personnel Rules.Ability to manage multiple high priority projects and tasks.Ability to use sound judgment to make decisions.Ability to interpret and understand the City’s Personnel Rules, Administrative Directives, and other related practices procedures and apply them to the management of the HCM Core/Security module.Ability to translate complex technical concepts to business users in non-technical terms.Ability to translate common business requirement into technical specifications for the HRIS team and/or Workday technical Consultants.Ability to communicate effectively and clearly, both verbally and in writing.Ability to analyze problems, identify alternative solutions or propose actions, and implement recommendations.Ability to understand how to measure and drive business value.Ability to establish and maintain effective working relationships.
Planet Tan	Product & Membership Sales Assistant Manager	Flower Mound, TX 75028	PM	ENTRY_LEVEL	Estimated $31.2K - $39.5K a year	 Overview:  Whatever your special powers might be, Planet Tan is looking for dynamic individuals like you! Are you passionate about skin care? Do you thrive off helping people achieve their goals? If you answered yes, come join our team! Here are some of the perks we offer: Flexible Work Schedule (minimum of 16 hours a week) Hourly Base Pay plus Commission Free Tanning, Product and Service Discounts! Employee Rewards & Recognition Program 5 Week Sales, Equipment, Product and Management Training Program Constant Product and Equipment Development Benefits Package Room to Grow! Responsibilities:  This position has a required 5-week manager-training course with performance metrics Maintain store staff by interviewing, hiring, and developing employees Create a positive, respectful environment Meet self-performance metrics and help develop employees to meet their metrics Analyze daily sales information to maximize sales Meet banking, safety, operations and legal requirements Control expenses: labor, inventory and maintenance Assign, manage, and follow up on daily tasks to keep store clean, stocked and organized Provide exceptional customer service and resolve customer issues Qualifications:  1 year supervisory experience Ability to effectively motivate others Must be able to stand, bend, walk for long periods of time Must be able to lift 25 pounds without assistance Other duties as assigned Reliable transportation High school diploma, or equivalent Planet Tan is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, national origin, disability status, protected Veteran status, or any other characteristic protected by law.
Oracle	Principal Product Marketing Manager, Oracle University and Customer Success Services Digital Office	United States	PM	ENTRY_LEVEL	Estimated $97.4K - $123K a year	The individual who fills this role at Oracle will be responsible for creating marketing content for digital learning solutions across the Oracle MyLearn platform, Oracle Guided Learning (Oracle’s Digital Adoption Platform), and other offerings within the Digital Office of Oracle Customer Success Services. Notably, this role includes developing content and collaborating on communications for a new digital success platform to automate our customer and partner cloud journeys. Reporting directly to the Senior Director of Communications and Programs, this individual contributor role will develop content for our new innovative services for customer and partner learning and success. Content generation is the core focus of this role, and the individual must be able to create compelling content for each area of the business that resonates with external and internal audiences. Content assets include customer presentations, web pages, marketing campaign assets, customer reference assets, competitive analyses, technical and marketing blog posts, social media posts, white papers, datasheets, and related documents. This individual will support the key marketing priorities for a given time period, effectively providing extensive content development expertise to the next new product introduction or initiative; and be on point to identify, evaluate, and recommend marketing opportunities in support of product line objectives. The individual will collaborate across Customer Success Services, Corporate Marketing, Product Management, Delivery, and Executive Management on the development of these global content assets. Strong knowledge of Oracle Services, the Oracle Partner Ecosystem, Oracle Cloud Infrastructure, and Oracle Cloud Applications, combined with the ability to generate high impact content assets, are critical for success in this role. This individual must be able to think strategically and execute with extreme attention to detail. A creative, energetic, and enthusiastic person who is self-motivated and can prioritize tasks and work in a fast-paced, dynamic environment will do well in this role.Development of compelling product marketing content for both new product introductions and existing products and services, which supports sales and marketing campaigns and internal communications Close collaboration with marketing communications, to drive impactful programs that align to business goals Ensuring that product marketing content effectively communicates business and technical value propositions to target personas such as Chief Learning Officers, Change Management Leaders, Chief Digital Officers, Chief Technology Officers, Line of Business Leaders, Partners and more The ability to translate complex, technical materials into dynamic product marketing content that will resonate with organizations and partners worldwide across a multitude of industries Understanding the competitive landscape and incorporating relevant updates into content assets intended for use by both external and internal audiences. Management of content inventory and repositories, keeping assets up to date, retiring content and introducing new content to support new use cases.
Oracle	Product Manager/Strategy 3-ProdDev	United States	PM	ENTRY_LEVEL	NA	If you love enterprise technology, if you get fascinated by how quickly technology and the enterprise market landscape change, and you want to be a part of this process, contribute, and make an impact – read on. Oracle Database Cloud Services is one of the most popular database cloud services in Oracle Cloud Infrastructure, with broad adoption across the globe. We seek a dynamic and creative world-class Product Manager with expertise and passion in delivering best-in-class Database Cloud Services, including Exadata Database Service in OCI public cloud and Cloud@Customer, and Base Database Service on VM. Work is non-routine and very complex, involving the application of advanced technical/business skills in an area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. You will be expected to take complete product management ownership on selected areas as well as products and services to be released in the future. If you can deliver and lead on a regular cadence and add value to the team, this could be the opportunity that propels your career.Work with customers directly, as well as Oracle Customer Support, Sales and Sales Consulting teams to understand customer usage patterns, help deployment of Oracle’s innovative technologies and cloud services by working with customers’ architecture teams, and improve the adoption of best practices Plan and execute product announcements Create product assets using PPT, Word, and video editing software Assists in the development of short-, medium-, and long-term plans to achieve strategic objectives. Regularly interact across functional areas with senior management or executives to ensure unit objectives are met. Influence thinking or gain acceptance of others in sensitive situations Demonstrate leadership and people management skills. Strong communication skills, analytical skills, thorough understanding of product development and product management. Provide hands-on training for Customer Support and Technical Sales personnel, as well as for select customers Develop collateral such as technical and business white papers, success stories, data sheets, brochures, best practices and product presentations Maintain internal and external web sites on related technologies Present at Oracle user group meetings, trade shows, customer sites, industry conferences, industry analyst meetings and at the Oracle Customer Visit Center Track the PaaS / Database Cloud market landscape, as well as competitive products and features Be creative in solutioning customer problems/requirements. Customer references and stories Evangelize product both internally and externally
Bellese	Product Owner (Contingent upon contract award)	Remote in United States	PM	ENTRY_LEVEL	NA	  Bellese Technologies is looking for someone with a passion for solving big problems in healthcare. We foster a learning environment that thrives on curiosity, innovation, and passion about improving healthcare in America. Our remote-first team is spread across 20+ states and leverages exceptional collaboration to amplify our strengths. We provide an environment focused around helping you achieve your goals. Because when you succeed, we all succeed.  This position is contingent upon contract award Responsibilities Sitting in the customer’s and user’s shoes: you seek to understand and empathize with the users and their goals – their problems are your problems Working with the development team to clarify requirements and help them understand the business side of the product Succinctly communicating or demonstrating issues to your team, and leading the thought process of your team to drive toward feasible, viable, and highly-usable solutions Creating user stories and acceptance criteria that clearly articulate requirements for each feature Translating ideas into actionable, testable solutions, and working with engineering teams to define and implement those solutions Verifying that the finished product meets the requirements and the needs of customers by conducting usability tests or reviewing customer feedback Prioritizing product backlog items based on business value, time needed to complete, and order in which they were created Communicating with stakeholders to ensure that everyone is on the same page regarding features, functionality, and deadlines Engaging and communicating with both technical and non-technical folks Communicating project status and roadblocks to other team members Working as part of an agile software development team - you’re a creative thinker and skilled communicator who thrives in cross-functional teams Facilitating meetings and preparing presentations to share ideas and findings Gathering critical information from meetings with various stakeholders and producing useful reports Measuring results: you define success through clear metrics so the customer can see what works and what doesn’t Qualifications Learning about and applying product and design thinking frameworks to problem-solving and managing the software development lifecycle Working with user research to identify current user experience issues, and driving measurable improvements Translating the HCD research findings and user needs into technical solutions, requirements, and user stories Managing a product backlog (Epics, Features, User Stories) in support of a strategic Product Roadmap Releasing and supporting software systems to healthcare providers All stages of the product development lifecycle - from research through design inception through implementation Organizing/obtaining feedback from stakeholders on completed work Bellese offers Three weeks paid leave Flexible Schedule and Remote-First culture $3000 annual education stipend Work from home setup including Macbook (possibly used/refurbished) Collaborative, learning environment Health insurance 401K Plan with Safe Harbor contribution   Other:  Executive Order requiring COVID safety protocols Bellese employees are Federal Workers and are subject to Executive Order 14042, Ensuring Adequate COVID Safety Protocols for Federal Contractors, dated September 9, 2021 (published in the Federal Register on September 14, 2021, 86 FR 50985). As condition of employment, employees will need to provide either: a: proof of completed COVID vaccinations OR b: have an approved medical or religious exemption and proof of weekly COVID testing.  U.S. citizen or legal right to work in the United States without sponsorship Bellese Technologies, LLC is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability. In addition to federal law requirements, Bellese Technologies, LLC complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.  EEO is the law:    https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf  EEO is the Law Poster Supplement    https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf  Pay Transparency:    https://www.dol.gov/sites/dolgov/files/OFCCP/pdf/pay-transp_%20English_formattedESQA508c.pdf 
Perficient, Inc	Product Owner	United States	PM	ENTRY_LEVEL	NA	The Product Owner is a crucial role on an application development team helping to transform a high-level vision into detailed functional requirements, create product user stories, and accept the completed deliver within a given iteration. That person is the primary contact responsible for ensuring the development team works on the tasks intended to address specific product scope and capabilities. The ideal candidate will have past or current Scrum Master responsibilities and experience with CCaaS; Amazon Connect, Twilio, or others. This is a remote position, must live in the United States.
Vested Finance Inc	Associate Product Manager	Remote in United States	PM	ENTRY_LEVEL	NA	About the role As an Associate Product Manager you will work join our Product team to help ensure that we are able to continuously build world-class products. Your duties will include analyzing consumer behavior and industry trends, evaluating consumer feedback on our products, and finding solutions for product defects. Location Remote (based in India) What you will do You will closely work with one or more product managers and support them in a variety of product initiatives ranging from market and customer research to product launch and testing You will help prepare project status and risk management reports You will also work on training internal departments on new product features and providing support to customers when needed Prior experience Bachelor's degree in computer science, business management, marketing, or a related field 1-2 years of experience in a similar role would be advantageous Experience in gathering and interpreting qualitative product data and consumer feedback An understanding of product sprints, PRDs and basic technology frameworks Background in Data Analytics is a strong plus Experience designing prototypes in HTML CSS or using platforms such as Figma Qualities that we look for Strong communication skills - including the ability to listen to the needs of others and comprehend complex matters, articulate issues in a clear and concise manner, and present effectively in both oral and written presentations to all levels in the organization. You get stuff done. You have a strong bias to action and will roll your sleeves up and get things done when needed Excellent attention to detail; you believe anything worth doing must be done right Willingness and ability to work independently, think creatively, and ability to pivot depending on changing priorities and deadlines Affinity for a high-performance, fast-paced, and project-oriented work environment You are a self-starter who excels at learning new processes and business functions You are highly analytical and are comfortable working with data
Underwriters Laboratories Inc.	2024 Campus Full Time: Product Management Associate Business Analyst	Northbrook, IL	PM	ENTRY_LEVEL	Estimated $49.5K - $62.7K a year
NEOGOV	Product Development Project Manager	Remote in Ontario, CA	PM	ENTRY_LEVEL	NA	At UL, we know why we come to work. Thousands of us around the world wake up every day with a common purpose: to make the world a safer, more secure and sustainable place. Science is in our DNA; we are endlessly curious and passionate about seeking and speaking the truth. We take delight in knowing that our work makes a meaningful contribution to society, and we are proud that our culture is centered on integrity, collaboration, inclusion and excellence. UL stands at the forefront of technological advancement, and we are continually challenged to find new ways to foster innovation and positive change. Satisfying? Yes. Exciting? Absolutely! As our global footprint continues to spread across the world, we are looking for a Product Management Associate Business Analyst to join our team in Northbrook, IL.What you’ll learn & achieve: As a Product Management Associate Business Analyst, you will work within one of the following operating units: Built Environment (BE) Built Environment provides the highest level of technical knowledge, expertise and testing, inspection and certification, advisory and commissioning services to support our customers globally throughout the entire life cycle of their products and buildings. UL plays a critical role and acts as a trusted partner to various stakeholders in the built environment and building products industry by knowing everything about every building, building regulation and requirement, fire equipment services and personal protective equipment by providing proactive insights on safe, secure and sustainable buildings, risk management solutions and tenant wellness and safety validations. Building Materials, Suppression Systems and Building Envelope Life Safety, Detection and Security Systems Personal Protective Equipment Energy and Industrial Automation (EIA) In Energy and Industrial Automation (EIA), we provide solutions for safety, security, and performance throughout the value chains for a diversity of cutting-edge industries, such as: Power and Automation, Renewable Energy, Field Evaluation Services and Industrial Functional Safety. The impact of our work spreads through many business areas on a global scale yet focused locally through our collaborative team members. Below are areas where UL is building and expanding services, and examples of what you may work on during your internship. Electric Vehicle (EV) Charging Systems and Equipment Batteries and Energy Storage Systems (ESS) Renewable Energy: Solar & Wind Industrial Robotics Power and Control Equipment Industrial Machinery Oil & Gas and Hazardous Locations Equipment Global Market Access Requirements for Products & Components Industrial EcosystemsWhat makes you a great fit: Be completing your final year of your undergraduate degree in: Business Administration, Industrial Engineering, Product Management or related major Hold a Bachelor’s degree prior to the intended full time start date Demonstrated ability to work in a results-oriented, challenging environment Strong verbal, written and interpersonal communication skills Ambitious and highly motivated self-starter who works well independently and collaboratively Ability to remain driven and focused in a remote work environment Must be legally permitted to work in the United States. What you’ll experience working at UL: Mission : For UL, corporate and social responsibility isn’t new. Making the world a safer, more secure and sustainable place has been our business model for the last 125 years and is deeply engrained in everything we do. People: Ask any UL employee what they love most about working here, and you’ll almost always hear, “the people.” Going beyond what is possible is the standard at UL. We’re able to deliver the best because we employ the best. Interesting work: Every day is different for us here as we eagerly anticipate the next innovation that our customers create. We’re inspired to take on the challenge that will transform how people live, work and play. And as a global company, in many roles, you will get international experience working with colleagues around the world. Grow & achieve: We learn, work and grow together with targeted development, reward and recognition programs as well as our very own UL University that offers extensive training programs for employees at all stages, including a technical training track for applicable roles. Total Rewards: All employees at UL Solutions are eligible for annual bonus compensation. The target for this position is 5% of the base salary offered. Employees are eligible for health benefits such as medical, dental and vision; wellness benefits such as mental & financial health; and retirement savings (401K) commensurate with the standard rewards offered in each individual location or country, for the relevant position level. We also provide employees with paid time off including vacation (15 days), holiday including floating holidays (12 days) and sick time off (72 hours). Learn More: Working at UL is an exciting journey that twists and turns daily. We thrive in the twists and revel in the turns. This is our every day. This is our normal. Curious? To learn more about us and the work we do, visit UL.com Connect With Us! Not ready to apply, or can't find a relevant opportunity?  Connect with us to keep informed about the latest UL career opportunities, tailored to your interests.   If you wish to request reasonable accommodation at any time, please email our Talent Acquisition team at Talent.Acquisition@ul.com.
Pinnacle Technical Resources	Product Manager V	Menlo Park, CA 94025	PM	ENTRY_LEVEL	NA	Job Description:In this role, candidate will empower experiences to reach users in a safe, secure, and reliable way, and help users find notifications valuable for meaningful everyday communication across Messenger and Instagram. Candidate will have an unparalleled opportunity to drive engagement by unlocking the three dimensions: what do we prioritize notifying users about, when do we notify them, and how does this deliver value to them. You will be working closely with a fully funded engineering team with dedicated support from XFNs. Top 3 must-have hard skills:Defining vision and strategy for a productExperience going through a full product lifecycle, integrating customer feedback into product requirements, driving prioritization and pre/post-launch execution.Experience leading a cross-functional team across Engineering, Design, Data Science, and User ResearchGood to have skills:Experience in analyzing complex, large-scale data sets and making decisions based on dataExperience in gathering requirements across diverse areas and users, and converting and developing them into a product solutionStory Behind the Need – Business Group and Key Projects:Notifications of platforms and experience for FB and IG messagingCompelling Story and Candidate Value Proposition:Every day, ~4 Billion thread opens are from notifications. Imagine improving the experience for users and growing engagement by improving relevance and reducing notification sends - huge opportunity to deliver meaningful outcomes for users worldwide.Typical Day in the Role:Working on product strategy to align with leadership on new ideasPartnering with Engineering, design and data science to test new hypothesis + solutions, and evaluate outcomesReporting outcomes on experimentsBuilding understand of user expectations through researchHow will performance be measured:Notification platform reliability improves across platformsMore users are open to receiving notifications / users do not turn notifications offUsers find notifications valuable and we see engagement wins based on our iterationsNote:Onsite in Menlo Park, CA - hybrid scheduleThis role is not Marketing related.Are you interested in working in a fast-paced, team-oriented environment in one of the most critical products used by billions of people? If this sounds intriguing, then we’d like to talk to you.Messenger and Instagram Messaging are one of the fastest growing apps in the world with billions of people using it every month. Users choose Messenger and Instagram messaging for universal reach and rich ways that users can express themselves. What questions will you ask and solve for?Improve signal from noise: How do we deliver the right notifications at the right time such that users find them valuable and are willing to engage? Can we leverage ML to personalize these for different user segments?PRE 101: How do we win users’ trust by delivering each notification reliability to the device and has consistent and accurate badging?Platform first: How do we scale for 100s of partners to leverage our platform, policies, and governance models to build consistent messaging notification experiences across the family of apps?This team has an amazing track record - they have delivered notifs for Community Messaging which are driving joins to new communities and chats, as well as delivered message routing capabilities enabling us to explore fully featured messaging in Facebook.If this sounds interesting, please DM me to learn more!Pay Range: $90+ hourly  The specific compensation for this position will be determined by a number of factors, including the scope, complexity and location of the role as well as the cost of labor in the market; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. Our full-time consultants have access to benefits including medical, dental, vision as well as 401K contributions as well as any other PTO, sick leave, and other benefits mandated by appliable state or localities where you reside or work.  #LI-AP3
DoorDash, Inc.	Associate Manager, New Verticals - Product Strategy & Operations	Los Angeles, CA	PM	ENTRY_LEVEL	$103,500 - $139,500 a year	About the Team New Verticals is an exciting team at DoorDash that is building and scaling new ways to delight our customers, leveraging the DoorDash platform. New Verticals include the DashMart, Convenience, Alcohol, Grocery, and Retail businesses. These categories bring about new challenges and opportunities to build something at DoorDash from the ground up. About the Role You will sit in the Fulfillment, Logistics & Catalog group within our New Verticals Strategy & Operations organization. We are hiring two positions on this team, so you’ll have the opportunity to be considered for both roles at once! You will help shape DoorDash's future inventory and selection strategy across our convenience, grocery, alcohol, and retail businesses as we transition the team to become a Machine Learning/Artificial Intelligence-first platform. Your work will impact how merchants think about integrating their inventory to our platform and how consumers explore our inventory selection. You will partner with teams across DoorDash and beyond to build a world-class inventory system that works for all 3 sides of the marketplace (Merchants, Dashers and Customers) and our emerging 4th side (Advertisers). Your work will enable merchants and advertisers to onboard quickly and merchandise effectively, customers to make informed buying decisions with rich merchandising, and Dashers to know exactly what to shop, and where. You’re excited about this opportunity because you will…Build the Future: You will help develop the strategy for groceries/perishables and general retail operations. You will create quarterly and annual plans that push our business forward and are aligned with our product capabilities. You will help these teams identify opportunities for enhancing our existing product offering and methods to improve delivery quality.Collaborate & Influence: Become the voice of innovation! Champion solutions to enhance the user experience. Where a product or operations solution is needed to unlock growth and reduce cost, you will advocate for those resources with your central partners.Analyze: You love working with data and using data to drive business decision-makingLearn: You will be deeply Immersed in our US and International grocery and retail operations, forming a POV on the best path forward on in-store operations and product roadmaps alongside a dynamic high performing team.We’re excited about you because…You solve problems from first principles. You’re excited to think innovatively, and you resist “this is how it’s always been done” thinking.You’re equally comfortable operating at 10,000 feet and 1 foot. You don’t hesitate to get in the weeds and operate at the lowest level of detail, but you’re just as comfortable thinking long-term and inspiring a team.You’re analytical. You’re comfortable building complex SQL queries across multiple data sources and have experience with data visualization and dashboarding tools.You have 4-6+ years of experience. You’ve succeeded in fast-paced cultures (tech, operations, strategy, consulting, banking, or a related experience), and you’ve led teams to achieve audacious goals.About DoorDash At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.   DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more. Our Commitment to Diversity and Inclusion We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel. Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination. Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation. If you need any accommodations, please inform your recruiting contact upon initial connection. Compensation The location-specific base salary range for this position is listed below. Compensation in other geographies may vary. Actual compensation within the pay range will be decided based on factors including, but not limited to, skills, prior relevant experience, and specific work location. For roles that are available to be filled remotely, base salary is localized according to employee work location. Please discuss your intended work location with your recruiter for more information. DoorDash cares about you and your overall well-being, and that’s why we offer a comprehensive benefits package, for full-time employees, that includes healthcare benefits, a 401(k) plan including an employer match, short-term and long-term disability coverage, basic life insurance, wellbeing benefits, paid time off, paid parental leave, and several paid holidays, among others. In addition to base salary, the compensation package for this role also includes opportunities for equity grants.     California Pay Range:        $115,000—$155,000 USD        Colorado Pay Range:        $103,500—$139,500 USD        Hawaii Pay Range:        $115,000—$155,000 USD        New Jersey Pay Range:        $115,000—$155,000 USD        New York Pay Range:        $109,000—$148,000 USD   
HealthFirst	Product Strategy Analyst - Medicaid	New York, NY 10007 (Tribeca area)	PM	ENTRY_LEVEL	NA	The Product Strategy Analyst is passionate and motivated by Healthfirst’s mission and wants to make a lasting impact in healthcare. This individual will create significant impact by providing the analytical support to the Integrated Products Strategy team to develop, assist in execution, and continuously improve upon a strategy that supports a profitable growth across the Integrated Products market portfolio including Medicaid Advantage Plus and Managed Long-Term Care Job Description Duties/Responsibilities: Work collaboratively with finance analysis, sales, marketing, Intake & Enrollment, and other departments as necessary to support market growth plans to achieve market growth and profitability objectives Compile information from multiple sources to prepare and distribute time-sensitive and accurate reporting for internal and external audiences Support team in analysis of the financial performance of e Integrated Products, identify favorable and unfavorable trends, develop recommendations to improve trends, communicate recommendations to management through a P&L focused mindset Design, create, modify, support and maintain monthly competitive reports and dashboards Prepare ad-hoc reporting as required by senior management and external partners Support team in creation of models to forecast growth performance and financial outcomes Effectively manage projects by setting clear project milestones and deliverables; clearly communicating goals, objectives and responsibilities. Participate in meetings to gather and specify departmental requirements for such projects Develop applications and reports using SQL ,Microsoft Excel, Tableau and pertinent databases  WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, age, genetic information, military or veteran status, marital status, mental or physical disability or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.  If you have a disability under the Americans with Disability Act or a similar law and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.  EEO Law Poster and Supplement  All hiring and recruitment at Healthfirst is transacted with a valid “@healthfirst.org” email address only or from a recruitment firm representing our Company. Any recruitment firm representing Healthfirst will readily provide you with the name and contact information of the recruiting professional representing the opportunity you are inquiring about. If you receive a communication from a sender whose domain is not @healthfirst.org, or not one of our recruitment partners, please be aware that those communications are not coming from or authorized by Healthfirst. Healthfirst will never ask you for money during the recruitment or onboarding process. Hiring Range*:Greater New York City Area (NY, NJ, CT residents): $65,600 - $94,775 All Other Locations (within approved locations): $58,300 - $86,700  As a candidate for this position, your salary and related elements of compensation will be contingent upon your work experience, education, licenses and certifications, and any other factors Healthfirst deems pertinent to the hiring decision.  In addition to your salary, Healthfirst offers employees a full range of benefits such as, medical, dental and vision coverage, incentive and recognition programs, life insurance, and 401k contributions (all benefits are subject to eligibility requirements). Healthfirst believes in providing a competitive compensation and benefits package wherever its employees work and live. The hiring range is defined as the lowest and highest salaries that Healthfirst in “good faith” would pay to a new hire, or for a job promotion, or transfer into this role.
