location	values	latitude	longitude	region	county	locality
San Francisco, CA 94158 (Mission Bay area)	{'latitude': 37.778008, 'longitude': -122.431272, 'type': 'locality', 'name': 'San Francisco', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Francisco County', 'locality': 'San Francisco', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Francisco, CA, USA'}	37.778008	-122.431272	California	San Francisco County	San Francisco
North Chicago, IL 60064	{'latitude': 42.317835, 'longitude': -87.863096, 'type': 'locality', 'name': 'North Chicago', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Lake County', 'locality': 'North Chicago', 'administrative_area': 'Shields Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'North Chicago, IL, USA'}	42.317835	-87.863096	Illinois	Lake County	North Chicago
Charlotte, NC 28217	{'latitude': 35.168745, 'longitude': -80.908364, 'type': 'postalcode', 'name': '28217', 'number': None, 'postal_code': '28217', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Mecklenburg County', 'locality': 'Charlotte', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '28217, Charlotte, NC, USA'}	35.168745	-80.908364	North Carolina	Mecklenburg County	Charlotte
Henderson, NV 89011 (Midway area)	{'latitude': 36.034776, 'longitude': -115.054822, 'type': 'locality', 'name': 'Henderson', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Nevada', 'region_code': 'NV', 'county': 'Clark County', 'locality': 'Henderson', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Henderson, NV, USA'}	36.034776	-115.054822	Nevada	Clark County	Henderson
Roseburg, OR 97470	{'latitude': 43.222691, 'longitude': -123.346273, 'type': 'locality', 'name': 'Roseburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Douglas County', 'locality': 'Roseburg', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Roseburg, OR, USA'}	43.222691	-123.346273	Oregon	Douglas County	Roseburg
Sacramento, CA 95816	{'latitude': 38.57873, 'longitude': -121.466786, 'type': 'locality', 'name': 'Sacramento', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Sacramento County', 'locality': 'Sacramento', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sacramento, CA, USA'}	38.57873	-121.466786	California	Sacramento County	Sacramento
Wheeling, WV 26003	{'latitude': 40.077776, 'longitude': -80.695346, 'type': 'locality', 'name': 'Wheeling', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'West Virginia', 'region_code': 'WV', 'county': 'Ohio County', 'locality': 'Wheeling', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Wheeling, WV, USA'}	40.077776	-80.695346	West Virginia	Ohio County	Wheeling
Amherst, MA 01003	{'latitude': 42.37729, 'longitude': -72.517271, 'type': 'locality', 'name': 'Amherst Center', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Hampshire County', 'locality': 'Amherst Center', 'administrative_area': 'Amherst', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Amherst Center, MA, USA'}	42.37729	-72.517271	Massachusetts	Hampshire County	Amherst Center
New York, NY 10005 (Financial District area)	{'latitude': 40.706004, 'longitude': -74.008785, 'type': 'postalcode', 'name': '10005', 'number': None, 'postal_code': '10005', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10005, New York, NY, USA'}	40.706004	-74.008785	New York	Kings County	New York
South Plainfield, NJ	{'latitude': 40.575128, 'longitude': -74.414729, 'type': 'locality', 'name': 'South Plainfield', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Middlesex County', 'locality': 'South Plainfield', 'administrative_area': 'South Plainfield', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'South Plainfield, NJ, USA'}	40.575128	-74.414729	New Jersey	Middlesex County	South Plainfield
Kennesaw, GA 30144	{'latitude': 34.030037, 'longitude': -84.617341, 'type': 'locality', 'name': 'Kennesaw', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Cobb County', 'locality': 'Kennesaw', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Kennesaw, GA, USA'}	34.030037	-84.617341	Georgia	Cobb County	Kennesaw
Albany, NY 12210 (Central Avenue area)	{'latitude': 42.657553, 'longitude': -73.790031, 'type': 'locality', 'name': 'Albany', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Albany County', 'locality': 'Albany', 'administrative_area': 'Albany', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Albany, NY, USA'}	42.657553	-73.790031	New York	Albany County	Albany
Flushing, MI 48433	{'latitude': 43.06366, 'longitude': -83.84022, 'type': 'locality', 'name': 'City of Flushing', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Genesee County', 'locality': 'City of Flushing', 'administrative_area': 'Flushing', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'City of Flushing, MI, USA'}	43.06366	-83.84022	Michigan	Genesee County	City of Flushing
Rochester, NY 14608 (Mayor's Heights area)	{'latitude': 43.154099, 'longitude': -77.62293, 'type': 'postalcode', 'name': '14608', 'number': None, 'postal_code': '14608', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Monroe County', 'locality': 'Rochester', 'administrative_area': 'Rochester', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '14608, Rochester, NY, USA'}	43.154099	-77.62293	New York	Monroe County	Rochester
Clearwater, FL	{'latitude': 27.975161, 'longitude': -82.808575, 'type': 'locality', 'name': 'Clearwater', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Pinellas County', 'locality': 'Clearwater', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Clearwater, FL, USA'}	27.975161	-82.808575	Florida	Pinellas County	Clearwater
Warrendale, PA 15086	{'latitude': 40.860198, 'longitude': -77.838617, 'type': 'region', 'name': 'Pennsylvania', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pennsylvania, USA'}	40.860198	-77.838617	Pennsylvania		
Stevens Point, WI 54482	{'latitude': 44.54689, 'longitude': -89.525593, 'type': 'postalcode', 'name': '54482', 'number': None, 'postal_code': '54482', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Portage County', 'locality': 'Stevens Point', 'administrative_area': 'Stevens Point', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '54482, Stevens Point, WI, USA'}	44.54689	-89.525593	Wisconsin	Portage County	Stevens Point
Minnetonka, MN 55345	{'latitude': 44.931569, 'longitude': -93.464871, 'type': 'locality', 'name': 'Minnetonka', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Hennepin County', 'locality': 'Minnetonka', 'administrative_area': 'Minnetonka', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Minnetonka, MN, USA'}	44.931569	-93.464871	Minnesota	Hennepin County	Minnetonka
Merced, CA 95340	{'latitude': 37.331751, 'longitude': -120.472344, 'type': 'locality', 'name': 'Merced', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Merced County', 'locality': 'Merced', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Merced, CA, USA'}	37.331751	-120.472344	California	Merced County	Merced
Key West, FL 33040	{'latitude': 24.560722, 'longitude': -81.769733, 'type': 'locality', 'name': 'Key West', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Monroe', 'locality': 'Key West', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Key West, FL, USA'}	24.560722	-81.769733	Florida	Monroe	Key West
Cicero, IL 60804	{'latitude': 41.846962, 'longitude': -87.759289, 'type': 'locality', 'name': 'Cicero', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Cicero', 'administrative_area': 'Cicero Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Cicero, IL, USA'}	41.846962	-87.759289	Illinois	Cook County	Cicero
Greer, SC	{'latitude': 34.939387, 'longitude': -82.229712, 'type': 'locality', 'name': 'Greer', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Greenville County', 'locality': 'Greer', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Greer, SC, USA'}	34.939387	-82.229712	South Carolina	Greenville County	Greer
Cary, NC 27513	{'latitude': 35.802102, 'longitude': -78.802719, 'type': 'postalcode', 'name': '27513', 'number': None, 'postal_code': '27513', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Wake County', 'locality': 'Cary', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '27513, Cary, NC, USA'}	35.802102	-78.802719	North Carolina	Wake County	Cary
Minneapolis, MN 55413 (Southeast Como area)	{'latitude': 44.96313, 'longitude': -93.266563, 'type': 'locality', 'name': 'Minneapolis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Hennepin County', 'locality': 'Minneapolis', 'administrative_area': 'Minneapolis', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Minneapolis, MN, USA'}	44.96313	-93.266563	Minnesota	Hennepin County	Minneapolis
Saint Croix Falls, WI 54024	{'latitude': 45.410292, 'longitude': -92.633637, 'type': 'locality', 'name': 'St. Croix Falls', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Polk County', 'locality': 'St. Croix Falls', 'administrative_area': 'St. Croix Falls', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'St. Croix Falls, WI, USA'}	45.410292	-92.633637	Wisconsin	Polk County	St. Croix Falls
Rapid City, SD 57701	{'latitude': 44.068767, 'longitude': -103.226164, 'type': 'locality', 'name': 'Rapid City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'South Dakota', 'region_code': 'SD', 'county': 'Pennington County', 'locality': 'Rapid City', 'administrative_area': 'Rapid City', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Rapid City, SD, USA'}	44.068767	-103.226164	South Dakota	Pennington County	Rapid City
Boulder County, CO	{'latitude': 40.087912, 'longitude': -105.326561, 'type': 'county', 'name': 'Boulder County', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Boulder County', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boulder County, CO, USA'}	40.087912	-105.326561	Colorado	Boulder County	
San Francisco, CA 94108 (Financial District/South Beach area)	{'latitude': 25.790491, 'longitude': -80.136416, 'type': 'venue', 'name': 'South Beach Art Deco District', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.8, 'region': 'Florida', 'region_code': 'FL', 'county': 'Miami-Dade County', 'locality': 'Miami Beach', 'administrative_area': None, 'neighbourhood': 'South Miami Beach', 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'South Beach Art Deco District, Miami Beach, FL, USA'}	25.790491	-80.136416	Florida	Miami-Dade County	Miami Beach
Park Ridge, IL 60068	{'latitude': 42.011762, 'longitude': -87.843434, 'type': 'postalcode', 'name': '60068', 'number': None, 'postal_code': '60068', 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Park Ridge', 'administrative_area': 'Maine Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '60068, Park Ridge, IL, USA'}	42.011762	-87.843434	Illinois	Cook County	Park Ridge
Seneca Falls, NY 13148	{'latitude': 42.913372, 'longitude': -76.785259, 'type': 'postalcode', 'name': '13148', 'number': None, 'postal_code': '13148', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Seneca County', 'locality': 'Seneca Falls', 'administrative_area': 'Seneca Falls', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '13148, Seneca Falls, NY, USA'}	42.913372	-76.785259	New York	Seneca County	Seneca Falls
Schenectady, NY 12305	{'latitude': 42.812011, 'longitude': -73.950342, 'type': 'postalcode', 'name': '12305', 'number': None, 'postal_code': '12305', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Schenectady County', 'locality': 'Schenectady', 'administrative_area': 'Schenectady', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '12305, Schenectady, NY, USA'}	42.812011	-73.950342	New York	Schenectady County	Schenectady
Rochester, NY 14604	{'latitude': 43.160274, 'longitude': -77.626819, 'type': 'locality', 'name': 'Rochester', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Monroe County', 'locality': 'Rochester', 'administrative_area': 'Rochester', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Rochester, NY, USA'}	43.160274	-77.626819	New York	Monroe County	Rochester
Eighty Four, PA 15330	{'latitude': 40.18174, 'longitude': -80.13311, 'type': 'locality', 'name': 'Eighty Four', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Washington County', 'locality': 'Eighty Four', 'administrative_area': 'Somerset Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Eighty Four, PA, USA'}	40.18174	-80.13311	Pennsylvania	Washington County	Eighty Four
Washington, DC 20036 (Downtown area)	{'latitude': 38.907017, 'longitude': -77.041569, 'type': 'postalcode', 'name': '20036', 'number': None, 'postal_code': '20036', 'street': None, 'confidence': 1, 'region': 'District of Columbia', 'region_code': 'DC', 'county': None, 'locality': 'Washington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '20036, Washington, DC, USA'}	38.907017	-77.041569	District of Columbia		Washington
Tarrytown, NY 10591	{'latitude': 41.064049, 'longitude': -73.866649, 'type': 'locality', 'name': 'Tarrytown', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Westchester County', 'locality': 'Tarrytown', 'administrative_area': 'Greenburgh', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tarrytown, NY, USA'}	41.064049	-73.866649	New York	Westchester County	Tarrytown
Framingham, MA 01701	{'latitude': 42.309583, 'longitude': -71.435625, 'type': 'locality', 'name': 'Framingham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Framingham', 'administrative_area': 'Framingham', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Framingham, MA, USA'}	42.309583	-71.435625	Massachusetts	Middlesex County	Framingham
Fort Collins, CO 80526	{'latitude': 40.542844, 'longitude': -105.06543, 'type': 'locality', 'name': 'Fort Collins', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Larimer County', 'locality': 'Fort Collins', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Collins, CO, USA'}	40.542844	-105.06543	Colorado	Larimer County	Fort Collins
Portland, OR 97205 (Downtown area)	{'latitude': 45.520562, 'longitude': -122.710231, 'type': 'postalcode', 'name': '97205', 'number': None, 'postal_code': '97205', 'street': None, 'confidence': 1, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Multnomah County', 'locality': 'Portland', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '97205, Portland, OR, USA'}	45.520562	-122.710231	Oregon	Multnomah County	Portland
Fort Liberty, NC 28310	{'latitude': 15.488117, 'longitude': 120.985387, 'type': 'venue', 'name': 'Fort Liberty', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Nueva Ecija', 'region_code': 'NE', 'county': 'Cabanatuan', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Philippines', 'country_code': 'PHL', 'continent': 'Asia', 'label': 'Fort Liberty, NE, Philippines'}	15.488117	120.985387	Nueva Ecija	Cabanatuan	
Columbia, SC 29201 (Downtown area)	{'latitude': 33.982484, 'longitude': -81.028098, 'type': 'postalcode', 'name': '29201', 'number': None, 'postal_code': '29201', 'street': None, 'confidence': 1, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Richland County', 'locality': 'Columbia', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '29201, Columbia, SC, USA'}	33.982484	-81.028098	South Carolina	Richland County	Columbia
Jupiter, FL	{'latitude': 26.906457, 'longitude': -80.114479, 'type': 'locality', 'name': 'Jupiter', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Palm Beach County', 'locality': 'Jupiter', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Jupiter, FL, USA'}	26.906457	-80.114479	Florida	Palm Beach County	Jupiter
Ghent, KY 41045	{'latitude': 38.73397, 'longitude': -85.06136, 'type': 'locality', 'name': 'City of Ghent', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Kentucky', 'region_code': 'KY', 'county': 'Carroll County', 'locality': 'City of Ghent', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'City of Ghent, KY, USA'}	38.73397	-85.06136	Kentucky	Carroll County	City of Ghent
Maryland Heights, MO 63043	{'latitude': 38.717959, 'longitude': -90.502322, 'type': 'locality', 'name': 'Maryland Heights', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'St. Louis County', 'locality': 'Maryland Heights', 'administrative_area': 'Maryland Heights Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Maryland Heights, MO, USA'}	38.717959	-90.502322	Missouri	St. Louis County	Maryland Heights
Bangor, ME 04401	{'latitude': 44.827739, 'longitude': -68.798961, 'type': 'locality', 'name': 'Bangor', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maine', 'region_code': 'ME', 'county': 'Penobscot County', 'locality': 'Bangor', 'administrative_area': 'Bangor', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bangor, ME, USA'}	44.827739	-68.798961	Maine	Penobscot County	Bangor
Chandler, AZ 85248	{'latitude': 33.310045, 'longitude': -111.861363, 'type': 'locality', 'name': 'Chandler', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Chandler', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chandler, AZ, USA'}	33.310045	-111.861363	Arizona	Maricopa County	Chandler
New York, NY 10017 (Murray Hill area)	{'latitude': 40.68295, 'longitude': -73.9708, 'type': 'locality', 'name': 'New York', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'New York, NY, USA'}	40.68295	-73.9708	New York	Kings County	New York
Reston, VA 20191 (Hattontown area)	{'latitude': 38.946704, 'longitude': -77.345382, 'type': 'locality', 'name': 'Reston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Fairfax County', 'locality': 'Reston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Reston, VA, USA'}	38.946704	-77.345382	Virginia	Fairfax County	Reston
Westlake, OH 44145	{'latitude': 41.449531, 'longitude': -81.930162, 'type': 'postalcode', 'name': '44145', 'number': None, 'postal_code': '44145', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Cuyahoga County', 'locality': 'Westlake', 'administrative_area': 'Westlake', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44145, Westlake, OH, USA'}	41.449531	-81.930162	Ohio	Cuyahoga County	Westlake
Fort Washington, PA 19034	{'latitude': 40.14178, 'longitude': -75.20906, 'type': 'locality', 'name': 'Fort Washington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Montgomery County', 'locality': 'Fort Washington', 'administrative_area': 'Upper Dublin Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Washington, PA, USA'}	40.14178	-75.20906	Pennsylvania	Montgomery County	Fort Washington
Spring, TX 77380	{'latitude': 30.059899, 'longitude': -95.394769, 'type': 'locality', 'name': 'Spring', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Spring', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Spring, TX, USA'}	30.059899	-95.394769	Texas	Harris County	Spring
Shaker Heights, OH	{'latitude': 41.472147, 'longitude': -81.545336, 'type': 'locality', 'name': 'Shaker Heights', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Cuyahoga County', 'locality': 'Shaker Heights', 'administrative_area': 'Shaker Heights', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Shaker Heights, OH, USA'}	41.472147	-81.545336	Ohio	Cuyahoga County	Shaker Heights
Somerville, NJ 08876	{'latitude': 40.570079, 'longitude': -74.614843, 'type': 'locality', 'name': 'Somerville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Somerset County', 'locality': 'Somerville', 'administrative_area': 'Somerville', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Somerville, NJ, USA'}	40.570079	-74.614843	New Jersey	Somerset County	Somerville
Hampton, VA 23662	{'latitude': 37.03737, 'longitude': -76.33161, 'type': 'locality', 'name': 'East Hampton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Hampton', 'locality': 'East Hampton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'East Hampton, VA, USA'}	37.03737	-76.33161	Virginia	City of Hampton	East Hampton
Eugene, OR 97401 (Cal Young area)	{'latitude': 44.046632, 'longitude': -123.088988, 'type': 'locality', 'name': 'Eugene', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Lane County', 'locality': 'Eugene', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Eugene, OR, USA'}	44.046632	-123.088988	Oregon	Lane County	Eugene
Spokane, WA 99201 (West Central area)	{'latitude': 47.660011, 'longitude': -117.4058, 'type': 'locality', 'name': 'Spokane', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Spokane County', 'locality': 'Spokane', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Spokane, WA, USA'}	47.660011	-117.4058	Washington	Spokane County	Spokane
Seven Fields, PA	{'latitude': 40.683222, 'longitude': -80.063793, 'type': 'locality', 'name': 'Seven Fields', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Butler County', 'locality': 'Seven Fields', 'administrative_area': 'Seven Fields', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Seven Fields, PA, USA'}	40.683222	-80.063793	Pennsylvania	Butler County	Seven Fields
Kansas	{'latitude': 38.500327, 'longitude': -98.380429, 'type': 'region', 'name': 'Kansas', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kansas', 'region_code': 'KS', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Kansas, USA'}	38.500327	-98.380429	Kansas		
Kentucky	{'latitude': 37.696825, 'longitude': -84.924095, 'type': 'region', 'name': 'Kentucky', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kentucky', 'region_code': 'KY', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Kentucky, USA'}	37.696825	-84.924095	Kentucky		
