job title,agency,department,location,salary,search_keyword,extracted_salary
Health System Specialist- System Redesign Coordinator,Veterans Health Administration,Department of Veterans Affairs,"Milwaukee, Wisconsin
                    Milwaukee, Wisconsin","Starting at $86,556 Per Year (GS 12)",Data Analyst,86556
Financial Analyst,Veterans Health Administration,Department of Veterans Affairs,"Los Angeles, California
                    Los Angeles, California","Starting at $54,067 Per Year (GS 7-9)",Data Analyst,54067
Supervisory Management & Program Analyst,"Executive Director, Office of Acquisition and Logistics",Department of Veterans Affairs,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $155,700 Per Year (GS 15)",Data Analyst,155700
INSPECTIONS SPECIALIST (COORDINATOR),Air National Guard Units,Department of the Air Force,"South Burlington, Vermont
                    South Burlington, Vermont","Starting at $63,876 Per Year (GS 10)",Data Analyst,63876
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $69,107 Per Year (GS 11)",Data Analyst,69107
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Hines, Illinois
                    Hines, Illinois","Starting at $63,633 Per Year (GS 9)",Data Analyst,63633
PROCUREMENT ANALYST,Defense Counterintelligence and Security Agency,Department of Defense,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GG 13)",Data Analyst,98496
BUDGET ANALYST (TITLE 5) (INDEFINITE-MAY BECOME PERMANENT),Air National Guard Units,Department of the Air Force,"Sioux City, Iowa
                    Sioux City, Iowa","Starting at $69,107 Per Year (GS 11)",Data Analyst,69107
Management and Program Analyst,Federal Emergency Management Agency,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Data Analyst,94199
Supervisory Program Analyst,Office of Personnel Management,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Data Analyst,132368
Supervisory Program Analyst,Office of Personnel Management,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Data Analyst,132368
Supervisory Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $99,908 Per Year (GS 14)",Data Analyst,99908
Interdisciplinary,United States Army Futures Command,Department of the Army,"Austin, Texas
                    Austin, Texas","Starting at $119,290 Per Year (GS 14)",Data Analyst,119290
Operations Research Analyst,Citizenship and Immigration Services,Department of Homeland Security,Anywhere in the U.S. (remote job),"Starting at $84,546 Per Year (GS 13-14)",Data Analyst,84546
Supervisory Management and Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Data Analyst,116393
Program Analyst - Dashboard Development,Veterans Health Administration,Department of Veterans Affairs,"Denver, Colorado
                    Denver, Colorado","Starting at $91,753 Per Year (GS 12)",Data Analyst,91753
Supervisory Operations Research Analyst,US ARMY HUMAN RESOURCES COMMAND (DRU),Department of the Army,"Fort Knox, Kentucky
                    Fort Knox, Kentucky","Starting at $116,393 Per Year (GS 14)",Data Analyst,116393
Budget Analyst,Animal and Plant Health Inspection Service,Department of Agriculture,"West Valley City, Utah
                    West Valley City, Utah","Starting at $57,118 Per Year (GS 9-11)",Data Analyst,57118
Management and Program Analyst,Federal Highway Administration,Department of Transportation,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Data Analyst,112015
MANAGEMENT AND PROGRAM ANALYST,Federal Trade Commission,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13)",Data Analyst,112015
Management Analyst,U.S. Army Joint Munitions Command,Department of the Army,"Richmond, Kentucky
                    Richmond, Kentucky","Starting at $69,107 Per Year (GS 11)",Data Analyst,69107
Management and Program Analyst,Department of Energy - Agency Wide,Department of Energy,Multiple Locations,"Starting at $57,118 Per Year (GS 9-15)",Data Analyst,57118
Management and Program Analyst,Department of Energy - Agency Wide,Department of Energy,Anywhere in the U.S. (remote job),"Starting at $57,118 Per Year (GS 9-15)",Data Analyst,57118
Program Analyst,Patent and Trademark Office,Department of Commerce,"Dallas, Texas
                    Dallas, Texas","Starting at $74,961 Per Year (GS 11-12)",Data Analyst,74961
Program Analyst,Patent and Trademark Office,Department of Commerce,"Dallas, Texas
                    Dallas, Texas","Starting at $74,961 Per Year (GS 11-12)",Data Analyst,74961
Operations Research Analyst (Talent Analysis),US Army Civilian Human Resources Agency,Department of the Army,Anywhere in the U.S. (remote job),"Starting at $78,592 Per Year (GS 11-13)",Data Analyst,78592
Data Scientist (SHARP),HQDA Field Operating Agencies and Staff Support Agencies,Department of the Army,"Arlington County, Virginia
                    Arlington County, Virginia","Starting at $112,015 Per Year (GS 13)",Data Analyst,112015
Management Analyst,Vet Customer Experience (VCE),Department of Veterans Affairs,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $112,015 Per Year (GS 13)",Data Analyst,112015
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Knoxville, Tennessee
                    Knoxville, Tennessee","Starting at $46,696 Per Year (GS 7-9)",Data Analyst,46696
Management and Program Analyst,Office of Personnel Management,Other Agencies and Independent Organizations,Anywhere in the U.S. (remote job),"Starting at $53,105 Per Year (GS 7)",Data Analyst,53105
Financial Analyst,Animal and Plant Health Inspection Service,Department of Agriculture,"Ames, Iowa
                    Ames, Iowa","Starting at $83,278 Per Year (GS 12)",Data Analyst,83278
Program Analyst-Telehealth,Veterans Health Administration,Department of Veterans Affairs,"Prescott, Arizona
                    Prescott, Arizona","Starting at $46,696 Per Year (GS 7-9)",Data Analyst,46696
Management Analyst,Natural Resources Conservation Service,Department of Agriculture,"Saint Paul, Minnesota
                    Saint Paul, Minnesota","Starting at $61,966 Per Year (GS 9-11)",Data Analyst,61966
Program Analyst (DSFC),Indian Health Service,Department of Health and Human Services,"Oklahoma City, Oklahoma
                    Oklahoma City, Oklahoma","Starting at $57,118 Per Year (GS 9)",Data Analyst,57118
IT Specialist (INFOSEC),Federal Emergency Management Agency,Department of Homeland Security,"Round Hill, Virginia
                    Round Hill, Virginia","Starting at $112,015 Per Year (IC 13)",Data Analyst,112015
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Charleston, South Carolina
                    Charleston, South Carolina","Starting at $57,118 Per Year (GS 9-11)",Data Analyst,57118
Management and Program Analyst,Merit Systems Protection Board,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 13-14)",Data Analyst,132368
Management and Program Analyst,Merit Systems Protection Board,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 13-14)",Data Analyst,132368
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Martinsburg, West Virginia
                    Martinsburg, West Virginia","Starting at $78,592 Per Year (GS 11)",Data Analyst,78592
Operations Research Analyst (6 Month Register),Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $59,510 Per Year (GS 9-12)",Data Analyst,59510
PROGRAM ANALYST,HQ USAF and Support Elements,Department of the Air Force,"Arlington, Virginia
                    Arlington, Virginia","Starting at $132,368 Per Year (GS 14)",Data Analyst,132368
Budget Analyst,Veterans Health Administration,Department of Veterans Affairs,"Los Angeles, California
                    Los Angeles, California","Starting at $54,067 Per Year (GS 7-11)",Data Analyst,54067
Scientific Program Analyst,National Institutes of Health,Department of Health and Human Services,"Montgomery County, Maryland
                    Montgomery County, Maryland","Starting at $94,199 Per Year (GS 12-13)",Data Analyst,94199
FINANCIAL MANAGEMENT ANALYST (ACCELERATED HIRE),Army National Guard Units,Department of the Army,"Latham, New York
                    Latham, New York","Starting at $58,564 Per Year (GS 9)",Data Analyst,58564
Public Notice for Financial Specialist/Analyst (Direct Hire),Federal Aviation Administration,Department of Transportation,"May be filled in various FAA duty locations,","Starting at $43,544 Per Year (FV F-K)",Data Analyst,43544
Medical Records Administrator - (Assistant Chief (ACHIM)),Veterans Health Administration,Department of Veterans Affairs,"Cheyenne, Wyoming
                    Cheyenne, Wyoming","Starting at $69,107 Per Year (GS 11)",Data Analyst,69107
Program Analyst,Deputy Assistant Secretary for Congressional Affairs,Department of Veterans Affairs,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $64,957 Per Year (GS 9-11)",Data Analyst,64957
SUPPLY SYSTEMS ANALYST,Air National Guard Units,Department of the Air Force,"Port Hueneme, California
                    Port Hueneme, California","Starting at $66,134 Per Year (GS 9)",Data Analyst,66134
SUPPLY SYSTEMS ANALYST,Army National Guard Units,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $62,903 Per Year (GS 9)",Data Analyst,62903
Public Notice for Direct Hire (Data Modernization),Centers for Disease Control and Prevention,Department of Health and Human Services,Multiple Locations,"Starting at $44,740 Per Year (GS 7-14)",Data Analyst,44740
Performance Improvement Analyst,Department of Homeland Security - Agency Wide,Department of Homeland Security,Anywhere in the U.S. (remote job),"Starting at $112,015 Per Year (GS 13-14)",Data Analyst,112015
IT CYBERSECURITY SPECIALIST (SYSADMIN) (TITLE 5),Air National Guard Units,Department of the Air Force,"Nashville, Tennessee
                    Nashville, Tennessee","Starting at $81,545 Per Year (GS 11)",Data Analyst,81545
IT CYBERSECURITY SPECIALIST (INFOSEC) (TITLE 5),Air National Guard Units,Department of the Air Force,"Nashville, Tennessee
                    Nashville, Tennessee","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
IT CYBERSECURITY SPECIALIST(INFOSEC)- Title 5,Army National Guard Units,Department of the Army,"Madison, Wisconsin
                    Madison, Wisconsin","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
IT CYBERSECURITY SPECIALIST (INFOSEC) - Title 32,Army National Guard Units,Department of the Army,"Madison, Wisconsin
                    Madison, Wisconsin","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
Management Analyst,Veterans Health Administration,Department of Veterans Affairs,"Martinsburg, West Virginia
                    Martinsburg, West Virginia","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
IT SPECIALIST (SYSADMIN/CUSTSPT),Air National Guard Units,Department of the Air Force,"March AFB, California
                    March AFB, California","Starting at $80,015 Per Year (GS 11)",Data Analyst,80015
IT SPECIALIST (CUSTSPT),Air National Guard Units,Department of the Air Force,"Moffett Field, California
                    Moffett Field, California","Starting at $85,508 Per Year (GS 11)",Data Analyst,85508
IT SPECIALIST (CUSTSPT),Air National Guard Units,Department of the Air Force,"Beale AFB, California
                    Beale AFB, California","Starting at $76,106 Per Year (GS 11)",Data Analyst,76106
Supervisory Program Specialist,Federal Aviation Administration,Department of Transportation,"FAA Location Negotiable Upon Request - See Additional Info,","Starting at $88,791 Per Year (FV J)",Data Analyst,88791
SUPERVISORY LOGISTICS MANAGEMENT SPECIALIST,Naval Air Systems Command,Department of the Navy,"Naval Air Station Jacksonville, Florida
                    Naval Air Station Jacksonville, Florida","Starting at $116,393 Per Year (GS 14)",Data Analyst,116393
Supervisory Supply Systems Analyst,Defense Logistics Agency,Department of Defense,"Battle Creek, Michigan
                    Battle Creek, Michigan","Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
IT SPECIALIST (SYSTEMS ADMINISTRATION),Army National Guard Units,Department of the Army,"Reisterstown, Maryland
                    Reisterstown, Maryland","Starting at $64,957 Per Year (GS 9)",Data Analyst,64957
SUPERVISORY PROGRAM ANALYST,Immediate Office of the Chief of Naval Operations,Department of the Navy,"Pentagon, Arlington, Virginia
                    Pentagon, Arlington, Virginia","Starting at $155,700 Per Year (GS 15)",Data Analyst,155700
DATA SCIENTIST,National Air and Space Intelligence Center,Department of the Air Force,"Wright-Patterson AFB, Ohio
                    Wright-Patterson AFB, Ohio","Starting at $123,437 Per Year (GG 13)",Data Analyst,123437
Supervisory Financial Analyst,Defense Logistics Agency,Department of Defense,"Battle Creek, Michigan
                    Battle Creek, Michigan","Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
IT SPECIALIST (NETWORK SERVICES),Army National Guard Units,Department of the Army,"Camp Dodge Military Reservation, Iowa
                    Camp Dodge Military Reservation, Iowa","Starting at $69,996 Per Year (GS 11)",Data Analyst,69996
QUALITY ASSURANCE ANALYST,Air National Guard Units,Department of the Air Force,"Port Hueneme, California
                    Port Hueneme, California","Starting at $80,015 Per Year (GS 11)",Data Analyst,80015
Operations Research Analyst,Surface Transportation Board,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14-15)",Data Analyst,132368
Management and Program Analyst,Defense Logistics Agency,Department of Defense,"Battle Creek, Michigan
                    Battle Creek, Michigan","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
Operations Research Analyst,Surface Transportation Board,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14-15)",Data Analyst,132368
IRS - Accepting Resumes from Disabled Veterans (10 pt. Preference),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $30,015 Per Year (GS 3-15)",Data Analyst,30015
IRS - Accepting Resumes from Individuals with Disabilities (Schedule A),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $30,015 Per Year (GS 3-15)",Data Analyst,30015
IRS - Accepting Resumes from Veteran Recruitment Appointment (VRA) Eligibles,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $30,015 Per Year (GS 3-11)",Data Analyst,30015
Management Analyst,U.S. Army Cyber Command,Department of the Army,"PYONG TAEK, South Korea
                    PYONG TAEK, South Korea","Starting at $71,099 Per Year (GG 12)",Data Analyst,71099
Budget Analyst,National Park Service,Department of the Interior,Anywhere in the U.S. (remote job),"Starting at $69,107 Per Year (GS 11-12)",Data Analyst,69107
IT SPECIALIST (CUSTSPT) - TITLE 32,Air National Guard Units,Department of the Air Force,"Robins AFB, Georgia
                    Robins AFB, Georgia","Starting at $69,107 Per Year (GS 11)",Data Analyst,69107
IT SPECIALIST (NETWORK),Air National Guard Units,Department of the Air Force,"Des Moines, Iowa
                    Des Moines, Iowa","Starting at $63,736 Per Year (GS 9-11)",Data Analyst,63736
Records and Systems Specialist #408,Senate,Legislative Branch,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $58,200 Per Year (AD 00)",Data Analyst,58200
Strategic Workforce Planning Analyst,Centers for Disease Control and Prevention,Department of Health and Human Services,Anywhere in the U.S. (remote job),"Starting at $104,008 Per Year (GS 13)",Data Analyst,104008
Budget Analyst,Veterans Health Administration,Department of Veterans Affairs,"Dallas, Texas
                    Dallas, Texas","Starting at $74,961 Per Year (GS 11)",Data Analyst,74961
Operations Research Analyst,U.S. Army Military Surface Deployment and Distribution Command,Department of the Army,"Scott AFB, Illinois
                    Scott AFB, Illinois","Starting at $100,694 Per Year (GS 13)",Data Analyst,100694
IT SPECIALIST (SYSTEMS ADMINISTRATION),Army National Guard Units,Department of the Army,"Topeka, Kansas
                    Topeka, Kansas","Starting at $69,996 Per Year (GS 11)",Data Analyst,69996
Financial Analyst,Defense Logistics Agency,Department of Defense,"Fort Belvoir, Virginia
                    Fort Belvoir, Virginia","Starting at $132,368 Per Year (GS 14)",Data Analyst,132368
Supervisory Operations Research Analyst,Office of the Secretary,Department of Commerce,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $155,700 Per Year (ZP 5)",Data Analyst,155700
"National Bank Examiner (Analyst to Associate Deputy Comptroller), NB-0570-NB-VI",Office of the Comptroller of the Currency,Department of the Treasury,"Chicago, Illinois
                    Chicago, Illinois","Starting at $102,355 Per Year (NB 6)",Data Analyst,102355
IT SPECIALIST (CUSTSPT),Army National Guard Units,Department of the Army,"Fresno, California
                    Fresno, California","Starting at $74,252 Per Year (GS 9-11)",Data Analyst,74252
Pathways Student Trainee - Loan Assistant/Specialist,"Agriculture, Rural Development",Department of Agriculture,"Marianna, Florida
                    Marianna, Florida","Starting at $33,906 Per Year (GS 3-4)",Data Analyst,33906
Budget Analyst,U.S. Army Intelligence and Security Command,Department of the Army,"Fort Eisenhower, Georgia
                    Fort Eisenhower, Georgia","Starting at $82,830 Per Year (GG 12)",Data Analyst,82830
Human Resources Analyst,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $75,782 Per Year (GS 9-13)",Data Analyst,75782
Health System Specialist,Indian Health Service,Department of Health and Human Services,"Zuni, New Mexico
                    Zuni, New Mexico","Starting at $69,777 Per Year (GS 11)",Data Analyst,69777
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
IT SPECIALIST (NETWORK) (TITLE 32),Air National Guard Units,Department of the Air Force,"Jefferson Barracks, Missouri
                    Jefferson Barracks, Missouri","Starting at $70,649 Per Year (GS 11)",Data Analyst,70649
IT SPECIALIST (CUSTSPT) (Title 5),Air National Guard Units,Department of the Air Force,"Tulsa, Oklahoma
                    Tulsa, Oklahoma","Starting at $63,763 Per Year (GS 9-11)",Data Analyst,63763
IT SPECIALIST (CUSTSPT),Defense Finance and Accounting Service,Department of Defense,Multiple Locations,"Starting at $83,591 Per Year (GS 12)",Data Analyst,83591
INTELLIGENCE SPECIALIST,Department of the Air Force - Agency Wide,Department of the Air Force,"Wright-Patterson AFB, Ohio
                    Wright-Patterson AFB, Ohio","Starting at $120,479 Per Year (GG 14)",Data Analyst,120479
Procurement Analyst,U.S. Army Contracting Command,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $102,267 Per Year (GS 13)",Data Analyst,102267
Budget Analyst,U.S. Army Contracting Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (GS 12)",Data Analyst,94199
SUPERVISORY PLANS AND POLICY BRANCH CHIEF (TITLE 32),Army National Guard Units,Department of the Army,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13)",Data Analyst,112015
IT CYBERSECURITY SPECIALIST,Air National Guard Units,Department of the Air Force,"McGuire AFB, New Jersey
                    McGuire AFB, New Jersey","Starting at $80,769 Per Year (GS 11-12)",Data Analyst,80769
SUPV IT SPECIALIST (CUSTSPT),Army National Guard Units,Department of the Army,"Pineville, Louisiana
                    Pineville, Louisiana","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
PROGRAM ANALYST,Air Force Materiel Command,Department of the Air Force,"Tinker AFB, Oklahoma
                    Tinker AFB, Oklahoma","Starting at $46,696 Per Year (GS 7-11)",Data Analyst,46696
IT SPECIALIST (NETWORK) (TITLE 32),Air National Guard Units,Department of the Air Force,"Jefferson Barracks, Missouri
                    Jefferson Barracks, Missouri","Starting at $70,649 Per Year (GS 11)",Data Analyst,70649
Management and Program Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $69,107 Per Year (GS 11-13)",Data Analyst,69107
SUPERVISORY PROGRAM ANALYST,U.S. Army Corps of Engineers,Department of the Army,"PYONG TAEK, South Korea
                    PYONG TAEK, South Korea","Starting at $84,546 Per Year (GS 13)",Data Analyst,84546
Operations Research Analyst,Office of the Secretary of the Army,Department of the Army,"Fort Belvoir, Virginia
                    Fort Belvoir, Virginia","Starting at $78,592 Per Year (GS 11-13)",Data Analyst,78592
Information Technology Specialist (APPSW) NF-04,Immediate Office of the Commander-in-Chief of the U.S. Army,Department of the Army,"Sembach, Germany
                    Sembach, Germany","Starting at $55,000 Per Year (NF 4)",Data Analyst,55000
Senior Program Analyst,Veterans Benefits Administration,Department of Veterans Affairs,"Location Negotiable After Selection,","Starting at $99,908 Per Year (GS 14)",Data Analyst,99908
Program Analyst,Assistant Secretary for Public and Indian Housing,Department of Housing and Urban Development,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Data Analyst,94199
Program Analyst,Assistant Secretary for Public and Indian Housing,Department of Housing and Urban Development,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Data Analyst,94199
Program Analyst,Assistant Secretary for Public and Indian Housing,Department of Housing and Urban Development,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $64,957 Per Year (GS 9-11)",Data Analyst,64957
Program Analyst,Assistant Secretary for Public and Indian Housing,Department of Housing and Urban Development,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $64,957 Per Year (GS 9-11)",Data Analyst,64957
PROCUREMENT ANALYST,Defense Finance and Accounting Service,Department of Defense,Multiple Locations,"Starting at $99,401 Per Year (GS 13)",Data Analyst,99401
Management & Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Oklahoma City, Oklahoma
                    Oklahoma City, Oklahoma","Starting at $57,118 Per Year (GS 9-11)",Data Analyst,57118
Management & Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Honolulu, Hawaii
                    Honolulu, Hawaii","Starting at $86,151 Per Year (GS 12)",Data Analyst,86151
Student Trainee (Management Analyst),Assistant Secretary for Housing-Federal Housing Commissioner,Department of Housing and Urban Development,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $42,870 Per Year (GS 5)",Data Analyst,42870
INTELLIGENCE SPECIALIST,Department of the Air Force - Agency Wide,Department of the Air Force,"Elmendorf AFB, Alaska
                    Elmendorf AFB, Alaska","Starting at $93,367 Per Year (GG 12)",Data Analyst,93367
Staff Operations and Training Specialist,U.S. Army Reserve Command,Department of the Army,"Salt Lake City, Utah
                    Salt Lake City, Utah","Starting at $57,118 Per Year (GS 9)",Data Analyst,57118
Supervisory Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Richmond, Virginia
                    Richmond, Virginia","Starting at $102,622 Per Year (GS 13)",Data Analyst,102622
IT SPECIALIST (DATA MANAGEMENT) - TITLE 32,Army National Guard Units,Department of the Army,"Frankfort, Kentucky
                    Frankfort, Kentucky","Starting at $63,736 Per Year (GS 9-11)",Data Analyst,63736
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Honolulu, Hawaii
                    Honolulu, Hawaii","Starting at $71,877 Per Year (GS 11)",Data Analyst,71877
Financial Management Analyst,U.S. Army Sustainment Command,Department of the Army,"Joint Base Lewis-McChord, Washington
                    Joint Base Lewis-McChord, Washington","Starting at $92,123 Per Year (GS 12)",Data Analyst,92123
Program Analyst,U.S. Army Training and Doctrine Command,Department of the Army,"Fort Novosel, Alabama
                    Fort Novosel, Alabama","Starting at $69,107 Per Year (GS 11)",Data Analyst,69107
Management and Program Analyst,National Oceanic and Atmospheric Administration,Department of Commerce,Multiple Locations,"Starting at $69,107 Per Year (ZA 3)",Data Analyst,69107
Data Scientist (Integrated Prevention),U.S. Army Reserve Command,Department of the Army,"Fort Liberty, North Carolina
                    Fort Liberty, North Carolina","Starting at $86,293 Per Year (GS 12)",Data Analyst,86293
Program Analyst,Assistant Secretary for Public and Indian Housing,Department of Housing and Urban Development,"Minneapolis, Minnesota
                    Minneapolis, Minnesota","Starting at $89,862 Per Year (GS 12-13)",Data Analyst,89862
Business Analyst,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12)",Data Analyst,88860
Business Analyst,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12)",Data Analyst,88860
SUPPORT SERVICES SUPERVISOR,United States Fleet Forces Command,Department of the Navy,"Pearl Harbor, Hawaii
                    Pearl Harbor, Hawaii","Starting at $53,786 Per Year (GS 8)",Data Analyst,53786
ITSPEC (SYSADMIN) (Information System Security Officer (ISSO))-Title 5,Air National Guard Units,Department of the Air Force,"Madison, Wisconsin
                    Madison, Wisconsin","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $62,677 Per Year (GS 9)",Data Analyst,62677
Student Trainee (Operations Research),Field Operating Offices of the Office of the Secretary of the Army,Department of the Army,"Fort Leavenworth, Kansas
                    Fort Leavenworth, Kansas","Starting at $33,906 Per Year (GS 3-4)",Data Analyst,33906
Student Trainee (Operations Research),Field Operating Offices of the Office of the Secretary of the Army,Department of the Army,"Fort Cavazos, Texas
                    Fort Cavazos, Texas","Starting at $33,906 Per Year (GS 3-4)",Data Analyst,33906
Student Trainee (Operations Research),Field Operating Offices of the Office of the Secretary of the Army,Department of the Army,"Fort Belvoir, Virginia
                    Fort Belvoir, Virginia","Starting at $34,135 Per Year (GS 3-4)",Data Analyst,34135
Student Trainee (Operations Research),Field Operating Offices of the Office of the Secretary of the Army,Department of the Army,"Fort Gregg-Adams, Virginia
                    Fort Gregg-Adams, Virginia","Starting at $33,906 Per Year (GS 3-4)",Data Analyst,33906
Student Trainee (Operations Research),Field Operating Offices of the Office of the Secretary of the Army,Department of the Army,"White Sands Missile Range, New Mexico
                    White Sands Missile Range, New Mexico","Starting at $33,906 Per Year (GS 3-4)",Data Analyst,33906
LEAD FINANCIAL MANAGEMENT ANALYST,United States Army Futures Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (DE 3)",Data Analyst,94199
Student Trainee (Operations Research),Field Operating Offices of the Office of the Secretary of the Army,Department of the Army,"Huntsville, Alabama
                    Huntsville, Alabama","Starting at $33,906 Per Year (GS 3-4)",Data Analyst,33906
Budget Analyst,National Oceanic and Atmospheric Administration,Department of Commerce,"Silver Spring, Maryland
                    Silver Spring, Maryland","Starting at $78,592 Per Year (ZA 3-4)",Data Analyst,78592
Budget Analyst,National Oceanic and Atmospheric Administration,Department of Commerce,"Silver Spring, Maryland
                    Silver Spring, Maryland","Starting at $78,592 Per Year (ZA 3-4)",Data Analyst,78592
Supervisory Procurement Analyst-DH,Pension Benefit Guaranty Corporation,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $155,700 Per Year (GS 15)",Data Analyst,155700
"Operations Research Analyst (SAR), GS-1515-14",U.S. Coast Guard,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Data Analyst,132368
"Operations Research Analyst (SAR), GS-1515-14",U.S. Coast Guard,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Data Analyst,132368
Health System Specialist (Credentialing & Privileging Specialist),Veterans Health Administration,Department of Veterans Affairs,"Boise, Idaho
                    Boise, Idaho","Starting at $46,696 Per Year (GS 7-9)",Data Analyst,46696
Program Analyst - BIL,Federal Railroad Administration,Department of Transportation,"Location Negotiable After Selection,","Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $63,271 Per Year (GS 9)",Data Analyst,63271
IT SPECIALIST (PLCYPLN) (TITLE 32),Air National Guard Units,Department of the Air Force,"Scott AFB, Illinois
                    Scott AFB, Illinois","Starting at $47,738 Per Year (GS 7-9)",Data Analyst,47738
OPERATIONS RESEARCH ANALYST,United States Army Futures Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $132,368 Per Year (GS 14)",Data Analyst,132368
IT Specialist (infosec),U.S. Army Element SHAPE,Department of the Army,"SHAPE, Belgium
                    SHAPE, Belgium","Starting at $84,546 Per Year (GS 13)",Data Analyst,84546
MANAGEMENT ANALYST,Army National Guard Units,Department of the Army,"Lakehurst, New Jersey
                    Lakehurst, New Jersey","Starting at $66,757 Per Year (GS 9)",Data Analyst,66757
