location	values
Seattle, WA 98103 (Wallingford area)	{'latitude': 47.678255, 'longitude': -122.338152, 'type': 'postalcode', 'name': '98103', 'number': None, 'postal_code': '98103', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Seattle', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98103, Seattle, WA, USA'}
University Park, IL 60484	{'latitude': 41.443818, 'longitude': -87.710988, 'type': 'postalcode', 'name': '60484', 'number': None, 'postal_code': '60484', 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Will County', 'locality': 'University Park', 'administrative_area': 'Monee Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '60484, University Park, IL, USA'}
Concord, NC 28025	{'latitude': 35.401332, 'longitude': -80.636764, 'type': 'locality', 'name': 'Concord', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Cabarrus County', 'locality': 'Concord', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Concord, NC, USA'}
Annapolis, MD 21409	{'latitude': 38.97859, 'longitude': -76.49184, 'type': 'locality', 'name': 'Annapolis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Anne Arundel County', 'locality': 'Annapolis', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Annapolis, MD, USA'}
Mesa, AZ 85212	{'latitude': 33.422793, 'longitude': -111.765222, 'type': 'locality', 'name': 'Mesa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Mesa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mesa, AZ, USA'}
Norton Shores, MI 49456	{'latitude': 43.1689, 'longitude': -86.26395, 'type': 'locality', 'name': 'Norton Shores', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Muskegon County', 'locality': 'Norton Shores', 'administrative_area': 'Norton Shores', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Norton Shores, MI, USA'}
Haltom City, TX	{'latitude': 32.833266, 'longitude': -97.274078, 'type': 'locality', 'name': 'Haltom City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Tarrant County', 'locality': 'Haltom City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Haltom City, TX, USA'}
Bellville, TX 77418	{'latitude': 29.944168, 'longitude': -96.255815, 'type': 'locality', 'name': 'Bellville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Austin County', 'locality': 'Bellville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bellville, TX, USA'}
Cypress, CA 90630	{'latitude': 33.819788, 'longitude': -118.042985, 'type': 'locality', 'name': 'Cypress', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Cypress', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Cypress, CA, USA'}
Lansing, MI 48906	{'latitude': 42.706332, 'longitude': -84.550291, 'type': 'locality', 'name': 'Lansing', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Ingham County', 'locality': 'Lansing', 'administrative_area': 'Lansing', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lansing, MI, USA'}
Oklahoma City, OK 73102	{'latitude': 35.470749, 'longitude': -97.519001, 'type': 'postalcode', 'name': '73102', 'number': None, 'postal_code': '73102', 'street': None, 'confidence': 1, 'region': 'Oklahoma', 'region_code': 'OK', 'county': 'Oklahoma County', 'locality': 'Oklahoma City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '73102, Oklahoma City, OK, USA'}
Fort Worth, TX 76106 (Diamond Hill - Jarvis area)	{'latitude': 32.729442, 'longitude': -97.33181, 'type': 'locality', 'name': 'Fort Worth', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Tarrant County', 'locality': 'Fort Worth', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Worth, TX, USA'}
Pittsburgh, PA 15238	{'latitude': 40.450508, 'longitude': -79.936309, 'type': 'locality', 'name': 'Pittsburgh', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Allegheny County', 'locality': 'Pittsburgh', 'administrative_area': 'Pittsburgh', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pittsburgh, PA, USA'}
Buena, NJ	{'latitude': 39.52669, 'longitude': -74.942352, 'type': 'locality', 'name': 'Buena', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Atlantic County', 'locality': 'Buena', 'administrative_area': 'Buena', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Buena, NJ, USA'}
Oshkosh, WI	{'latitude': 44.017678, 'longitude': -88.561028, 'type': 'locality', 'name': 'Oshkosh', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Winnebago County', 'locality': 'Oshkosh', 'administrative_area': 'Oshkosh', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Oshkosh, WI, USA'}
Fresno, TX	{'latitude': 29.531523, 'longitude': -95.470043, 'type': 'locality', 'name': 'Fresno', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Fort Bend County', 'locality': 'Fresno', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fresno, TX, USA'}
Lindon, UT 84042	{'latitude': 40.340772, 'longitude': -111.724517, 'type': 'postalcode', 'name': '84042', 'number': None, 'postal_code': '84042', 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Utah County', 'locality': 'Lindon', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '84042, Lindon, UT, USA'}
North Olmsted, OH 44070	{'latitude': 41.415033, 'longitude': -81.918942, 'type': 'postalcode', 'name': '44070', 'number': None, 'postal_code': '44070', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Cuyahoga County', 'locality': 'North Olmsted', 'administrative_area': 'North Olmsted', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44070, North Olmsted, OH, USA'}
Broomfield, CO 80021	{'latitude': 39.938612, 'longitude': -105.044226, 'type': 'locality', 'name': 'Broomfield', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Broomfield County', 'locality': 'Broomfield', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Broomfield, CO, USA'}
Bellingham, WA 98225	{'latitude': 48.764218, 'longitude': -122.468178, 'type': 'locality', 'name': 'Bellingham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Whatcom County', 'locality': 'Bellingham', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bellingham, WA, USA'}
Lathrop, CA	{'latitude': 37.82283, 'longitude': -121.286028, 'type': 'locality', 'name': 'Lathrop', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'San Joaquin County', 'locality': 'Lathrop', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lathrop, CA, USA'}
Charlotte, NC 28262 (University City North area)	{'latitude': 35.322061, 'longitude': -80.739955, 'type': 'postalcode', 'name': '28262', 'number': None, 'postal_code': '28262', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Mecklenburg County', 'locality': 'Charlotte', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '28262, Charlotte, NC, USA'}
Louisville, CO	{'latitude': 39.97101, 'longitude': -105.153802, 'type': 'locality', 'name': 'Louisville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Boulder County', 'locality': 'Louisville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Louisville, CO, USA'}
Grandview, MO 64030	{'latitude': 38.884062, 'longitude': -94.514454, 'type': 'locality', 'name': 'Grandview', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'Jackson County', 'locality': 'Grandview', 'administrative_area': 'Washington Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Grandview, MO, USA'}
Jasper, IN 47546	{'latitude': 38.39144, 'longitude': -86.93111, 'type': 'locality', 'name': 'Jasper', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Indiana', 'region_code': 'IN', 'county': 'Dubois County', 'locality': 'Jasper', 'administrative_area': 'Bainbridge Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Jasper, IN, USA'}
Swanton, OH 43558	{'latitude': 41.594739, 'longitude': -83.878342, 'type': 'postalcode', 'name': '43558', 'number': None, 'postal_code': '43558', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Lucas County', 'locality': None, 'administrative_area': 'Swanton Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '43558, Swanton Township, OH, USA'}
Trenton, ME 04605	{'latitude': 44.44309, 'longitude': -68.39971, 'type': 'locality', 'name': 'Town of Trenton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maine', 'region_code': 'ME', 'county': 'Hancock County', 'locality': 'Town of Trenton', 'administrative_area': 'Trenton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Town of Trenton, ME, USA'}
Fremont, CA 94538 (Baylands area)	{'latitude': 37.51377, 'longitude': -121.944821, 'type': 'locality', 'name': 'Fremont', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Alameda County', 'locality': 'Fremont', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fremont, CA, USA'}
Kimball, TN	{'latitude': 35.042685, 'longitude': -85.670947, 'type': 'locality', 'name': 'Kimball', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Marion County', 'locality': 'Kimball', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Kimball, TN, USA'}
Irvine, CA 92602	{'latitude': 33.672421, 'longitude': -117.764394, 'type': 'locality', 'name': 'Irvine', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Irvine', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Irvine, CA, USA'}
Trafford, PA 15085	{'latitude': 40.38583, 'longitude': -79.758974, 'type': 'locality', 'name': 'Trafford', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Westmoreland County', 'locality': 'Trafford', 'administrative_area': 'Trafford', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Trafford, PA, USA'}
Batavia, NY 14020	{'latitude': 42.99619, 'longitude': -78.213412, 'type': 'postalcode', 'name': '14020', 'number': None, 'postal_code': '14020', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Genesee County', 'locality': None, 'administrative_area': 'Batavia', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '14020, Batavia, NY, USA'}
Milwaukee, WI 53224 (Land Bank area)	{'latitude': 43.50363, 'longitude': -112.050332, 'type': 'address', 'name': '1020 Land Bank St', 'number': '1020', 'postal_code': '83402', 'street': 'Land Bank St', 'confidence': 1, 'region': 'Idaho', 'region_code': 'ID', 'county': 'Bonneville County', 'locality': 'Idaho Falls', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '1020 Land Bank St, Idaho Falls, ID, USA'}
Columbus, OH 43232 (Eastland area)	{'latitude': 39.920952, 'longitude': -82.870492, 'type': 'postalcode', 'name': '43232', 'number': None, 'postal_code': '43232', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Franklin County', 'locality': 'Columbus', 'administrative_area': 'Columbus', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '43232, Columbus, OH, USA'}
Windsor Locks, CT	{'latitude': 41.925533, 'longitude': -72.653625, 'type': 'locality', 'name': 'Windsor Locks', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Hartford County', 'locality': 'Windsor Locks', 'administrative_area': 'Windsor Locks', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Windsor Locks, CT, USA'}
Racine, WI 53405	{'latitude': 42.726918, 'longitude': -87.830175, 'type': 'postalcode', 'name': '53405', 'number': None, 'postal_code': '53405', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Racine County', 'locality': 'Racine', 'administrative_area': 'Racine', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53405, Racine, WI, USA'}
Duryea, PA 18642	{'latitude': 41.34397, 'longitude': -75.73853, 'type': 'locality', 'name': 'Duryea', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Luzerne County', 'locality': 'Duryea', 'administrative_area': 'Duryea', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Duryea, PA, USA'}
Youngstown, OH 44503 (Downtown area)	{'latitude': 41.099326, 'longitude': -80.649074, 'type': 'postalcode', 'name': '44503', 'number': None, 'postal_code': '44503', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Mahoning County', 'locality': 'Youngstown', 'administrative_area': 'Youngstown', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44503, Youngstown, OH, USA'}
Dallas, TX (Northeast Dallas area)	{'latitude': 32.736212, 'longitude': -96.784359, 'type': 'locality', 'name': 'Dallas', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Dallas County', 'locality': 'Dallas', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dallas, TX, USA'}
Sedro-Woolley, WA 98284	{'latitude': 48.506643, 'longitude': -122.231363, 'type': 'locality', 'name': 'Sedro-Woolley', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Skagit County', 'locality': 'Sedro-Woolley', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sedro-Woolley, WA, USA'}
Exeter, NH 03833	{'latitude': 42.978415, 'longitude': -70.987522, 'type': 'postalcode', 'name': '03833', 'number': None, 'postal_code': '03833', 'street': None, 'confidence': 1, 'region': 'New Hampshire', 'region_code': 'NH', 'county': 'Rockingham County', 'locality': None, 'administrative_area': 'Exeter', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '03833, Exeter, NH, USA'}
Grass Lake, MI 49240	{'latitude': 42.25087, 'longitude': -84.21301, 'type': 'locality', 'name': 'Grass Lake', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Jackson County', 'locality': 'Grass Lake', 'administrative_area': 'Grass Lake', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Grass Lake, MI, USA'}
Farmington Hills, MI	{'latitude': 42.49874, 'longitude': -83.377121, 'type': 'locality', 'name': 'Farmington Hills', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Oakland County', 'locality': 'Farmington Hills', 'administrative_area': 'Farmington Hills', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Farmington Hills, MI, USA'}
West Wareham, MA 02576	{'latitude': 41.78983, 'longitude': -70.76031, 'type': 'locality', 'name': 'West Wareham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Plymouth County', 'locality': 'West Wareham', 'administrative_area': 'Wareham', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'West Wareham, MA, USA'}
Roseville, CA 95678 (Industrial Area East area)	{'latitude': 38.760442, 'longitude': -121.286318, 'type': 'locality', 'name': 'Roseville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Placer County', 'locality': 'Roseville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Roseville, CA, USA'}
Pittsburgh, PA 15219 (Middle Hill area)	{'latitude': 40.450508, 'longitude': -79.936309, 'type': 'locality', 'name': 'Pittsburgh', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Allegheny County', 'locality': 'Pittsburgh', 'administrative_area': 'Pittsburgh', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pittsburgh, PA, USA'}
Santa Barbara, CA 93117	{'latitude': 34.389656, 'longitude': -119.702652, 'type': 'locality', 'name': 'Santa Barbara', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Santa Barbara County', 'locality': 'Santa Barbara', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Santa Barbara, CA, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-119.859791,34.336029,-119.63992,34.463922&layer=mapnik&marker=34.389656,-119.702652'}
Stockton, CA 95215	{'latitude': 37.945186, 'longitude': -121.284615, 'type': 'locality', 'name': 'Stockton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Joaquin County', 'locality': 'Stockton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Stockton, CA, USA'}
South Houston, TX 77587	{'latitude': 29.661032, 'longitude': -95.229784, 'type': 'postalcode', 'name': '77587', 'number': None, 'postal_code': '77587', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'South Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '77587, South Houston, TX, USA'}
Hudson, MA 01749	{'latitude': 42.396608, 'longitude': -71.561944, 'type': 'locality', 'name': 'Hudson', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Hudson', 'administrative_area': 'Hudson', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Hudson, MA, USA'}
Virginia Beach, VA 23451	{'latitude': 36.85293, 'longitude': -75.97798, 'type': 'locality', 'name': 'Virginia Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Virginia Beach', 'locality': 'Virginia Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Virginia Beach, VA, USA'}
Catoosa, OK 74015	{'latitude': 36.189148, 'longitude': -95.754758, 'type': 'locality', 'name': 'Catoosa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Oklahoma', 'region_code': 'OK', 'county': 'Rogers County', 'locality': 'Catoosa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Catoosa, OK, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-95.8154,36.1548,-95.717404,36.249493&layer=mapnik&marker=36.189148,-95.754758'}
Plymouth, MN 55442	{'latitude': 45.022139, 'longitude': -93.467323, 'type': 'locality', 'name': 'Plymouth', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Hennepin County', 'locality': 'Plymouth', 'administrative_area': 'Plymouth', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Plymouth, MN, USA'}
Lake Forest, CA 92630	{'latitude': 33.645736, 'longitude': -117.685503, 'type': 'postalcode', 'name': '92630', 'number': None, 'postal_code': '92630', 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Lake Forest', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '92630, Lake Forest, CA, USA'}
Edison, NJ	{'latitude': 40.51872, 'longitude': -74.4121, 'type': 'locality', 'name': 'Edison', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Middlesex County', 'locality': 'Edison', 'administrative_area': 'Edison Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Edison, NJ, USA'}
Fontana, CA 92335	{'latitude': 34.133677, 'longitude': -117.458299, 'type': 'locality', 'name': 'Fontana', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Bernardino County', 'locality': 'Fontana', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fontana, CA, USA', 'bbox_module': [-117.524313, 34.033428, -117.401056, 34.184158], 'country_module': {'latitude': 39.44325637817383, 'longitude': -98.95733642578125, 'common_name': 'United States', 'official_name': 'United States of America', 'capital': 'Washington D.C.', 'flag': '🇺🇸', 'area': 9372610, 'landlocked': False, 'independent': True, 'global': {'alpha2': 'US', 'alpha3': 'USA', 'numeric_code': '840', 'region': 'Americas', 'subregion': 'Northern America', 'region_code': '019', 'subregion_code': '021', 'world_region': 'AMER', 'continent_name': 'North America', 'continent_code': 'NA'}, 'dial': {'calling_code': '1', 'national_prefix': '1', 'international_prefix': '011'}, 'currencies': [{'symbol': '$', 'code': 'USD', 'name': 'US Dollar', 'numeric': 840, 'minor_unit': 2}], 'languages': {'eng': 'English'}}, 'sun_module': {'rise': {'time': 1701700795, 'astronomical': 1701695469, 'civil': 1701699152, 'nautical': 1701697289}, 'set': {'time': 1701736810, 'astronomical': 1701742136, 'civil': 1701738453, 'nautical': 1701740316}, 'transit': 1701718802}, 'timezone_module': {'name': 'America/Los_Angeles', 'offset_sec': -28800, 'offset_string': '-08:00'}}
Blaine, MN 55449	{'latitude': 45.1608, 'longitude': -93.23495, 'type': 'locality', 'name': 'Blaine', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Anoka County', 'locality': 'Blaine', 'administrative_area': 'Blaine', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Blaine, MN, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-93.23445,45.1613,-93.23545,45.1603&layer=mapnik&marker=45.1608,-93.23495'}
Sulphur Springs, TX 75482	{'latitude': 33.167979, 'longitude': -95.608219, 'type': 'postalcode', 'name': '75482', 'number': None, 'postal_code': '75482', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Hopkins County', 'locality': 'Sulphur Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '75482, Sulphur Springs, TX, USA'}
Pulaski, NY 13142	{'latitude': 43.554899, 'longitude': -76.137872, 'type': 'postalcode', 'name': '13142', 'number': None, 'postal_code': '13142', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Oswego County', 'locality': 'Pulaski', 'administrative_area': 'Richland', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '13142, Pulaski, NY, USA'}
Scottsboro, AL 35769	{'latitude': 34.642918, 'longitude': -86.058213, 'type': 'locality', 'name': 'Scottsboro', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Jackson County', 'locality': 'Scottsboro', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Scottsboro, AL, USA'}
Princess Anne, MD	{'latitude': 38.202911, 'longitude': -75.693842, 'type': 'locality', 'name': 'Princess Anne', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Somerset County', 'locality': 'Princess Anne', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Princess Anne, MD, USA'}
Grenada, MS	{'latitude': 33.782912, 'longitude': -89.812194, 'type': 'locality', 'name': 'Grenada', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Mississippi', 'region_code': 'MS', 'county': 'Grenada County', 'locality': 'Grenada', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Grenada, MS, USA'}
